"# Program:featureCounts v2.0.1; Command:""featureCounts"" ""-p"" ""-B"" ""-s"" ""2"" ""-t"" ""gene"" ""-g"" ""locus_tag"" ""-a"" ""00_genome/genomic.gff"" ""-o"" ""HCA_featureCounts_2021.txt"" ""bams/aAWT_B_noglu_24_S19_SP_sorted.bam"" ""bams/aBWT_C_noglu_24_S20_SP_sorted.bam"" ""bams/aCWT_D_noglu_24_S21_SP_sorted.bam"" ""bams/aFTrmB_C_noglu_24_S48_S1_sorted.bam"" ""bams/aGTrmB_D_noglu_24_S42_S1_sorted.bam"" ""bams/HCA_ref_RNA_S7_S1_sorted.bam"" ""bams/JTrmB_A_glu_48_S45_S1_sorted.bam"" ""bams/LTrmB_C_glu_48_S8_S1_sorted.bam"" ""bams/NTrmB_A_noglu_48_S9_S1_sorted.bam"" ""bams/OTrmB_B_noglu_48_S24_S1_sorted.bam"" ""bams/QTrmB_D_noglu_48_S10_S1_sorted.bam"" ""bams/RWT_A_glu_24_S41_S1_sorted.bam"" ""bams/SWT_B_glu_24_S16_SP_sorted.bam"" ""bams/TWT_C_glu_24_S17_SP_sorted.bam"" ""bams/UWT_D_glu_24_S46_S1_sorted.bam"" ""bams/VTrmB_A_glu_24_S25_S1_sorted.bam"" ""bams/WTrmB_B_glu_24_S11_S1_sorted.bam"" ""bams/XTrmB_C_glu_24_S26_S1_sorted.bam"" ""bams/YTrmB_D_glu_24_S18_SP_sorted.bam"" ""bams/ZWT_A_noglu_24_S47_S1_sorted.bam"" "																									
Geneid	Chr	Start	End	Strand	Length	bams/aAWT_B_noglu_24_S19_SP_sorted.bam	bams/aBWT_C_noglu_24_S20_SP_sorted.bam	bams/aCWT_D_noglu_24_S21_SP_sorted.bam	bams/aFTrmB_C_noglu_24_S48_S1_sorted.bam	bams/HCA_ref_RNA_S7_S1_sorted.bam	bams/aGTrmB_D_noglu_24_S42_S1_sorted.bam	bams/JTrmB_A_glu_48_S45_S1_sorted.bam	bams/LTrmB_C_glu_48_S8_S1_sorted.bam	bams/NTrmB_A_noglu_48_S9_S1_sorted.bam	bams/OTrmB_B_noglu_48_S24_S1_sorted.bam	bams/QTrmB_D_noglu_48_S10_S1_sorted.bam	bams/RWT_A_glu_24_S41_S1_sorted.bam	bams/SWT_B_glu_24_S16_SP_sorted.bam	bams/TWT_C_glu_24_S17_SP_sorted.bam	bams/UWT_D_glu_24_S46_S1_sorted.bam	bams/VTrmB_A_glu_24_S25_S1_sorted.bam	bams/WTrmB_B_glu_24_S11_S1_sorted.bam	bams/XTrmB_C_glu_24_S26_S1_sorted.bam	bams/YTrmB_D_glu_24_S18_SP_sorted.bam	bams/ZWT_A_noglu_24_S47_S1_sorted.bam
HAH_RS00085	NC_015948.1	16445	17281	-	837	4385	11330	10130	1742	2872	1013	11285	5702	2294	2106	825	8332	8693	7125	5189	11415	7868	7180	10648	8218
HAH_RS00090	NC_015948.1	17383	18411	-	1029	3107	6941	7889	10337	6467	9199	4336	5111	11554	11702	4781	3827	4823	6320	8274	4242	4504	5131	5191	7124
HAH_RS00095	NC_015948.1	18547	19887	+	1341	191	336	309	488	133	430	149	173	317	368	151	124	186	169	160	149	164	154	198	314
HAH_RS00100	NC_015948.1	19938	20327	-	390	761	1527	2231	1460	3868	955	1532	1881	738	1825	415	1343	1932	2611	3274	1571	1533	1893	1947	1837
HAH_RS00105	NC_015948.1	20457	20957	+	501	553	1182	1292	962	777	879	1174	1172	669	1038	373	944	1134	1258	1330	868	991	942	1254	1101
HAH_RS00110	NC_015948.1	21003	22100	+	1098	5214	11004	11330	12586	5830	9658	7858	7597	10625	11961	5206	6109	8397	8319	8770	6612	7203	7514	8659	9536
HAH_RS00115	NC_015948.1	22100	22396	+	297	1082	2363	2422	2155	1190	1583	2068	1743	2097	2571	999	1597	1792	2023	2115	2177	1638	1788	2210	2190
HAH_RS00120	NC_015948.1	22451	22555	+	105	62	116	226	196	23	70	206	175	30	182	34	109	178	180	214	149	100	120	193	183
HAH_RS00125	NC_015948.1	23149	23511	-	363	222	493	576	269	384	222	362	340	335	480	177	392	492	619	677	481	496	555	640	484
HAH_RS00130	NC_015948.1	23645	25108	-	1464	105	327	400	71	346	72	205	198	45	70	27	234	291	397	555	310	213	225	290	250
HAH_RS00135	NC_015948.1	25254	25706	+	453	3440	7489	7706	8808	6158	7344	6146	6166	5553	9355	3156	4648	5843	6792	8109	5940	5053	5699	6241	7499
HAH_RS00140	NC_015948.1	25781	26563	+	783	1547	3080	3594	3268	2351	2082	4283	4893	1122	2691	834	2671	4145	4102	4107	3026	3180	3640	3863	2924
HAH_RS00145	NC_015948.1	26585	27580	-	996	3031	6859	6144	4128	2738	3704	5971	5116	2809	3767	1480	4326	5813	4949	4451	6105	4796	5138	6385	4995
HAH_RS00150	NC_015948.1	27663	27947	-	285	1017	2839	2782	2544	1396	1997	3001	2531	1850	3036	1039	2552	2902	3985	5072	3413	2349	3019	3227	2405
HAH_RS00155	NC_015948.1	28126	29070	+	945	30988	72736	107842	58349	24155	38513	87123	73915	41863	48410	18098	95814	108766	133463	139513	102500	96624	102820	123319	56822
HAH_RS00160	NC_015948.1	29071	29685	+	615	18492	44541	62019	33999	15106	22476	45457	37844	22663	25116	9830	57921	64136	82772	84759	64334	57718	60328	73038	37408
HAH_RS00165	NC_015948.1	29732	30160	-	429	734	1512	1939	915	1388	929	698	942	1076	1527	549	832	1044	1268	1783	1083	873	982	1128	1481
HAH_RS00170	NC_015948.1	30294	30728	+	435	8974	18874	18882	25602	7488	21613	17393	14035	15676	28691	9809	14405	15152	15921	16125	16626	16632	15502	20381	16327
HAH_RS00175	NC_015948.1	30720	31172	-	453	2404	4269	5703	4359	5383	3300	4800	5991	2678	5434	1397	2793	3737	4377	5513	3277	3316	3461	3713	5455
HAH_RS00180	NC_015948.1	31434	31504	+	71	45	84	144	154	185	45	432	304	48	210	36	73	155	240	235	117	76	88	125	210
HAH_RS19060	NC_015948.1	31611	32459	+	849	10540	28274	29423	14718	2911	9161	65064	45391	20448	23178	10064	42082	54093	36683	22935	54932	37785	45316	56641	18168
HAH_RS00190	NC_015948.1	32503	32781	+	279	1898	4751	4943	1884	1213	1379	14839	10346	2239	2901	1167	8370	9846	7708	4819	9310	7280	9495	10814	3922
HAH_RS00195	NC_015948.1	32864	33511	+	648	1941	4312	4208	2168	1632	1928	8709	9170	1743	2336	896	4434	7366	5691	4436	5568	4968	6335	6559	3270
HAH_RS00200	NC_015948.1	33515	34720	-	1206	2321	5082	4031	3750	2068	3519	3039	2917	2964	3176	1520	2788	3092	2879	2365	2713	3163	2978	3904	4091
HAH_RS00205	NC_015948.1	34820	35185	+	366	346	806	891	542	283	545	894	795	394	617	201	715	925	1004	991	794	731	907	985	671
HAH_RS00210	NC_015948.1	35470	37515	+	2046	11641	23793	32597	29622	18830	26020	12898	16257	27224	29673	13145	12258	17909	21922	27774	12841	15401	16439	18253	26007
HAH_RS00215	NC_015948.1	37595	39772	+	2178	10789	23266	24840	21114	13537	21566	8223	8900	11006	14545	6642	10643	14998	16704	18028	12848	11442	13062	14006	18977
HAH_RS19780	NC_015948.1	39809	39982	-	174	236	437	532	393	213	331	689	568	204	455	115	438	536	485	572	412	483	534	585	353
HAH_RS00220	NC_015948.1	40125	41999	+	1875	3996	8636	10213	3532	5311	3277	3118	2801	3513	3015	1509	4226	4678	5209	5034	3698	4452	4290	4560	8212
HAH_RS00225	NC_015948.1	42055	42127	+	73	94	223	273	398	315	158	528	623	70	453	52	173	332	387	457	234	210	261	326	389
HAH_RS00230	NC_015948.1	42312	44684	-	2373	553	1241	1548	544	3750	498	792	952	718	648	284	907	1230	1583	1976	1097	1020	1169	1211	1200
HAH_RS00235	NC_015948.1	44684	45829	-	1146	186	420	453	200	1483	170	334	396	229	206	83	324	448	541	647	322	359	404	398	368
HAH_RS00240	NC_015948.1	45986	49513	+	3528	15908	36245	38821	32567	19485	29684	31546	33304	30282	29852	13729	23550	31576	34248	37307	20963	24983	31239	30205	30796
HAH_RS00245	NC_015948.1	49515	49787	+	273	635	1411	1904	967	1171	779	1436	1450	704	991	326	1232	1639	2049	2634	1402	1306	1531	1533	1599
HAH_RS00250	NC_015948.1	49957	50292	+	336	79	181	195	160	178	113	219	228	91	130	63	197	210	264	295	169	182	255	248	169
HAH_RS00255	NC_015948.1	50289	51098	+	810	386	972	946	708	786	683	789	1164	479	754	280	702	1205	1171	1215	922	759	1003	1040	746
HAH_RS00260	NC_015948.1	51131	51898	+	768	64	150	188	161	170	75	275	341	39	164	38	175	300	349	368	194	179	257	248	142
HAH_RS00265	NC_015948.1	51895	52611	+	717	24	49	89	58	58	42	98	105	19	51	10	63	117	134	166	77	52	98	101	48
HAH_RS00270	NC_015948.1	52590	53450	-	861	75	207	238	75	204	93	171	171	70	99	30	195	272	344	422	248	177	259	229	168
HAH_RS00275	NC_015948.1	53621	54115	+	495	2344	5899	4925	1770	2069	1355	3842	3412	1660	2000	725	3315	4474	4437	4297	4335	3317	3814	4762	4257
HAH_RS00280	NC_015948.1	54370	55890	+	1521	4394	9712	10174	4297	5995	4166	6615	6539	4103	4305	1918	6653	8058	8230	8632	6263	7019	7383	8304	8243
HAH_RS00285	NC_015948.1	55973	56578	-	606	1741	4054	3797	1200	1893	1042	7347	5043	929	1278	514	3244	4022	3307	3245	3589	3262	3793	4582	3275
HAH_RS00290	NC_015948.1	56820	57080	-	261	720	1665	1505	356	661	200	6707	5844	297	530	164	2851	3247	2881	1948	2954	3039	3436	3573	1241
HAH_RS00295	NC_015948.1	57178	57714	+	537	3630	7775	7098	9135	5876	9173	5312	6393	7516	12835	4358	3161	5530	4654	3673	4332	3668	4701	5113	7531
HAH_RS00300	NC_015948.1	57757	59244	-	1488	3473	6656	6741	6372	3817	6322	6647	8089	7256	7514	3366	3461	5069	4357	4145	3031	4123	4213	4459	6765
HAH_RS00305	NC_015948.1	59241	59837	-	597	1060	1962	2128	2067	1048	1981	2419	2570	2333	2636	1100	1102	1404	1351	1509	747	1216	1230	1186	2304
HAH_RS00310	NC_015948.1	59978	60436	-	459	1408	2554	2655	1470	4037	1247	3171	2561	1374	1989	671	2637	2746	3193	3262	2649	3141	2739	3732	3123
HAH_RS00315	NC_015948.1	60563	61918	+	1356	15590	23626	28987	51885	50624	63387	18153	27368	31772	36381	20128	26855	40738	42685	37753	24366	42835	35300	43340	33337
HAH_RS00320	NC_015948.1	61931	62824	-	894	1763	4053	3946	1247	2818	1050	2877	2877	2451	2348	959	2761	3999	4202	3908	3223	3035	3109	4012	3770
HAH_RS00325	NC_015948.1	62821	64056	-	1236	2758	6660	6666	2448	3310	1765	7854	6135	3286	3003	1341	4497	5898	5458	5764	5075	4626	5113	6488	5633
HAH_RS00330	NC_015948.1	64135	65571	-	1437	2026	4646	5065	1910	7887	1335	3118	3300	2162	2333	883	2123	3454	3634	3664	2819	2261	2549	3049	4212
HAH_RS00335	NC_015948.1	65666	66082	+	417	1331	3046	3749	1828	3134	1384	1969	2032	1181	1911	682	2137	3205	3679	4020	3208	2408	2758	3055	2884
HAH_RS00340	NC_015948.1	66199	67302	-	1104	1276	2731	3594	1987	4319	1774	1294	1786	1438	2017	736	1518	2325	3155	4183	1771	1920	2075	2137	2983
HAH_RS00345	NC_015948.1	67351	69033	-	1683	208	482	509	499	564	396	278	280	292	407	161	199	340	308	335	293	277	275	327	492
HAH_RS00350	NC_015948.1	69167	69520	+	354	1443	3330	4119	2243	2940	1877	3910	3668	1481	2909	903	3507	4846	5252	4932	3973	3547	4793	5160	3290
HAH_RS00355	NC_015948.1	69735	70478	-	744	406	679	888	1632	508	1345	892	1587	1225	1635	648	520	888	843	888	663	674	734	833	763
HAH_RS00360	NC_015948.1	70466	71314	-	849	617	1081	1301	2962	789	2163	1588	2230	1894	2796	997	801	1230	1185	1234	1031	1004	1056	1285	1228
HAH_RS00365	NC_015948.1	71339	71986	-	648	2755	5954	6564	11544	3525	10564	4939	6385	8525	11650	4782	3463	5052	5350	6029	4286	4266	4719	5148	5730
HAH_RS00370	NC_015948.1	72158	72523	+	366	222	413	583	137	620	127	466	472	148	283	38	422	638	825	965	563	503	624	665	460
HAH_RS00375	NC_015948.1	72552	73139	-	588	1367	3213	3510	3349	2141	2857	2396	2505	2122	4179	1296	2096	2973	3236	3630	2910	2480	2740	3148	2831
HAH_RS00380	NC_015948.1	73252	73695	-	444	50	116	114	193	109	68	132	119	64	159	42	73	98	100	136	121	101	129	131	122
HAH_RS00385	NC_015948.1	73920	74471	-	552	879	1674	1575	2771	676	2062	1032	871	1535	3334	1052	719	1056	1049	1017	910	751	841	1080	1524
HAH_RS00390	NC_015948.1	74468	74653	-	186	1791	4275	3347	4842	1076	4114	2932	2050	3351	9945	1901	1586	1587	2154	1807	1656	1275	1956	2006	3924
HAH_RS00395	NC_015948.1	74814	75425	+	612	925	2142	2364	979	884	909	1739	1283	892	915	468	1627	2181	2139	2175	2178	1840	1844	2304	1772
HAH_RS00400	NC_015948.1	75476	76381	+	906	853	2101	2123	1043	996	793	1966	1585	733	1113	389	1836	2130	2162	2067	2016	1759	1849	2288	1762
HAH_RS19065	NC_015948.1	76432	76581	-	150	809	1859	2222	2852	4487	1854	3484	4016	1385	3683	758	1904	2806	3810	4982	2619	1824	2506	2729	3144
HAH_RS00405	NC_015948.1	76708	77781	+	1074	1349	2969	3445	2564	1777	2373	3017	2945	2087	2585	1147	2739	3674	3929	4091	3365	3055	3251	3740	2460
HAH_RS00410	NC_015948.1	77951	78466	-	516	4077	9490	11038	11278	11962	11155	7740	10892	7215	12372	4182	6030	9592	11329	13277	7668	7441	8841	9912	10778
HAH_RS00415	NC_015948.1	78554	80308	+	1755	8766	19923	17119	11714	9769	11182	11899	9549	12250	9554	5207	10983	12723	11969	10586	11573	11695	11955	15198	14519
HAH_RS00420	NC_015948.1	80305	80682	+	378	927	2125	1778	1035	1217	852	1316	1118	1015	991	410	1329	1467	1633	1321	1327	1383	1409	1723	1668
HAH_RS00425	NC_015948.1	80710	81420	-	711	233	517	571	425	309	216	1088	1126	110	437	125	821	1037	1165	1034	896	854	820	1046	449
HAH_RS00430	NC_015948.1	81532	82914	-	1383	7964	16942	17492	18194	12934	17180	11988	12441	15683	16122	7818	12138	15936	19441	20841	13895	14500	15146	17441	15241
HAH_RS00435	NC_015948.1	83000	83443	-	444	894	1999	2429	1220	1223	1496	1214	1247	1091	1595	683	1464	1936	2482	2903	1622	1526	1915	2095	1556
HAH_RS00440	NC_015948.1	83551	84459	+	909	9409	22778	24203	10240	7678	8959	15668	11908	9390	10616	5027	17953	21659	21852	17286	20785	19382	19742	24804	18013
HAH_RS00445	NC_015948.1	84570	86474	+	1905	12994	28580	31284	12662	21063	9091	14490	13851	14737	15010	6329	18044	22462	25328	27175	18932	19445	19633	23317	25353
HAH_RS00450	NC_015948.1	86471	86923	-	453	159	389	470	354	744	193	354	400	134	334	107	496	544	520	636	447	531	525	564	306
HAH_RS19785	NC_015948.1	87014	87160	-	147	20	35	32	13	19	9	104	78	3	21	0	66	55	68	60	72	30	65	64	25
HAH_RS00455	NC_015948.1	87407	87874	+	468	2636	5864	5433	4149	700	3135	11310	10824	3734	4266	1680	5064	6792	4930	4209	5726	6896	6768	8598	4494
HAH_RS00460	NC_015948.1	87986	89119	-	1134	4117	10240	10960	5431	13190	2870	3303	2712	2983	3383	2156	8858	9608	8482	6756	7102	9631	8168	8049	7020
HAH_RS00465	NC_015948.1	89229	89699	-	471	389	893	670	407	253	271	626	315	354	437	177	346	370	376	303	455	399	370	489	717
HAH_RS00470	NC_015948.1	89787	91388	-	1602	4898	10003	7526	2171	1555	1771	13669	5356	1004	1419	626	5763	6549	3160	1661	7266	4913	4742	7622	6289
HAH_RS00475	NC_015948.1	91507	92856	+	1350	9250	18525	18835	3533	17737	3315	11033	13096	4439	3602	1742	9096	12263	12883	13613	9312	11126	11497	12448	17401
HAH_RS00480	NC_015948.1	92941	93213	+	273	206	481	490	222	144	168	740	584	73	164	31	344	430	468	525	551	403	450	619	443
HAH_RS00485	NC_015948.1	93258	94133	+	876	1472	3209	3550	3415	2383	2995	2973	3151	2863	3770	1560	1960	2860	3099	3637	2162	2201	2546	2780	3202
HAH_RS00490	NC_015948.1	94195	94491	+	297	672	1583	1449	1139	2089	883	1622	1567	572	1207	310	1268	1567	1784	1990	1592	1358	1518	1910	1094
HAH_RS00495	NC_015948.1	94511	95461	-	951	1532	3560	3600	3368	1849	3113	4018	3696	1936	2995	1118	2473	3685	3379	3308	3576	2810	3172	3862	2886
HAH_RS00500	NC_015948.1	95831	96718	-	888	5417	11454	9997	4745	2443	3870	9051	7234	2905	3870	1595	6680	8925	6842	5716	8856	7762	7820	10251	8718
HAH_RS00505	NC_015948.1	97076	98305	+	1230	18032	37108	40730	49942	32701	45050	20162	25177	45056	50687	21451	21585	31493	37948	42623	25991	26644	28774	33464	33100
HAH_RS00510	NC_015948.1	98305	98682	+	378	4460	8865	9840	8306	7741	7458	4854	5985	7107	8591	3326	5646	7868	10400	10638	7199	6519	7282	8417	8395
HAH_RS00515	NC_015948.1	98686	99264	+	579	8896	18738	20551	17295	17171	15865	11705	14215	14553	16043	7425	13023	16870	22085	25770	13304	15717	16966	18385	17827
HAH_RS00520	NC_015948.1	99264	99461	+	198	1839	4181	4260	4121	3323	3217	3009	3103	2600	4590	1456	3016	3593	5314	5372	4681	3237	3827	4411	4424
HAH_RS00525	NC_015948.1	99463	100002	+	540	2727	5450	6045	7076	6322	5613	3738	4749	5514	7221	2709	4027	5791	7501	8586	5147	4956	5225	6137	5605
HAH_RS19430	NC_015948.1	100031	100186	-	156	143	295	262	258	127	183	1002	992	141	425	89	341	579	423	284	466	400	490	527	319
HAH_RS00530	NC_015948.1	100276	101307	-	1032	4046	9263	9147	5844	3912	6270	3972	4004	5682	5967	2602	3737	5258	4901	4712	4797	4590	4804	5759	8192
HAH_RS00535	NC_015948.1	101395	101784	+	390	341	695	721	801	612	751	682	736	593	1012	337	422	628	651	620	405	517	600	631	748
HAH_RS00540	NC_015948.1	101895	102149	+	255	48	93	78	129	90	64	232	286	47	180	31	79	131	125	166	92	103	152	136	100
HAH_RS00545	NC_015948.1	102179	103027	-	849	1407	3292	3386	2968	2011	2719	2329	2152	2408	3024	1332	2377	2969	3304	3516	2770	2765	2806	3380	2922
HAH_RS00550	NC_015948.1	103094	104299	-	1206	450	893	765	1306	575	1219	644	813	1500	1798	676	506	852	714	670	484	598	569	718	774
HAH_RS00555	NC_015948.1	104451	105749	+	1299	3879	8563	9093	6493	4756	6654	3077	3782	6730	6524	3255	4884	6699	8526	8558	5556	5939	6655	6864	6960
HAH_RS00560	NC_015948.1	105888	106886	+	999	320	754	776	336	769	223	470	661	202	342	107	532	753	1057	881	595	595	728	744	625
HAH_RS00565	NC_015948.1	106931	108208	+	1278	12153	25297	28836	17663	22992	15524	15568	18515	15598	17903	8289	15713	21536	25146	29757	17526	18735	20025	22210	23610
HAH_RS00570	NC_015948.1	108551	109006	+	456	601	1194	1326	629	999	485	1275	1251	475	770	296	997	1354	1300	1170	1188	1131	1195	1500	1076
HAH_RS19790	NC_015948.1	109112	109264	-	153	111	247	226	950	174	528	542	531	336	868	175	238	280	273	295	283	257	287	355	298
HAH_RS00575	NC_015948.1	109556	110629	+	1074	3153	6708	7321	9221	5738	9010	4115	5314	10003	11816	5044	3617	5201	5661	6224	3810	4531	4793	5200	6144
HAH_RS00580	NC_015948.1	110626	110835	-	210	739	1511	2038	1789	2413	1782	1234	1797	1406	2816	848	820	1308	1420	1786	852	1099	1338	1333	1888
HAH_RS00585	NC_015948.1	110965	111612	+	648	911	1891	1888	2256	1194	2236	2365	2506	1765	1929	944	1347	1800	1933	2318	1876	1453	1570	1988	1661
HAH_RS00590	NC_015948.1	111631	112149	-	519	600	1350	1710	880	1212	773	1003	1278	949	1322	414	864	1276	1427	1674	1312	1032	1258	1313	1267
HAH_RS00595	NC_015948.1	112342	113292	+	951	405	1006	1338	497	1284	450	610	723	455	557	200	703	775	1268	1580	919	646	924	842	865
HAH_RS00600	NC_015948.1	113306	113917	-	612	8015	17368	13024	17837	6830	17638	13298	9847	10449	18695	6695	9783	10788	9510	8040	12295	11032	10767	14445	13590
HAH_RS00605	NC_015948.1	113954	114850	-	897	3472	7768	8254	3957	7848	2741	6606	7773	5499	5421	2429	6442	9255	11960	12450	7821	7523	8743	9040	7928
HAH_RS00610	NC_015948.1	114857	115600	-	744	7607	18041	20068	10092	13128	7790	10953	11409	15917	15172	6500	12504	16760	21129	25054	13827	15027	15529	17377	16983
HAH_RS00615	NC_015948.1	115760	116845	-	1086	952	2297	2161	1029	1241	1041	1979	1643	983	1636	387	1646	2207	2514	2082	1704	1939	2051	2540	1880
HAH_RS00625	NC_015948.1	117165	117956	+	792	2052	4198	5128	5816	4891	6221	3009	3707	4965	6842	2631	2495	4059	4873	5958	3193	3108	3909	3755	4570
HAH_RS00630	NC_015948.1	117975	118673	-	699	596	1199	1351	843	2727	851	2027	2605	1519	1062	582	530	871	2580	1440	1687	498	3300	1107	1293
HAH_RS00635	NC_015948.1	118663	118839	-	177	38	103	106	105	293	71	456	334	120	176	50	74	104	309	279	290	76	320	148	135
HAH_RS00640	NC_015948.1	119143	121335	-	2193	6688	14946	17080	9554	21136	7644	9272	11768	9689	10236	4874	10202	14315	19947	30441	8541	10820	12808	12083	13798
HAH_RS00645	NC_015948.1	121440	123059	+	1620	7339	16873	17844	19739	14951	19759	7818	10113	20403	21539	10066	10003	14758	18851	23612	10138	10830	12997	12666	14005
HAH_RS00650	NC_015948.1	123061	123690	+	630	2267	5264	5652	5215	4873	5340	2480	3269	5661	4824	2611	3371	4781	6686	8672	3462	3868	4221	4236	4369
HAH_RS00655	NC_015948.1	123695	124576	-	882	2012	4300	4418	5941	3767	5613	3512	4413	2846	4929	1723	2493	3733	3706	4093	2934	3088	3566	3815	4098
HAH_RS00660	NC_015948.1	124719	126767	+	2049	9795	21114	16558	9621	10642	9626	11089	9332	12825	10900	5363	10301	13350	10240	8148	13630	11680	11358	14968	15645
HAH_RS00665	NC_015948.1	126862	127989	+	1128	6077	13201	13196	11819	8687	10245	7810	6749	10784	10669	4887	9329	11065	11832	11665	10421	10166	10266	12110	11144
HAH_RS00670	NC_015948.1	128033	128818	-	786	2813	5770	6012	5865	4769	5214	3149	3087	6501	6552	3254	2751	3568	3804	3532	3225	3341	3348	3853	6150
