# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-B" "-s" "2" "-t" "gene" "-g" "locus_tag" "-a" "00_genome/genomic.gff" "-o" "HCA_featureCounts_2022.txt" "03_aligned_sorted/10_WT_B_S18_sorted.bam" "03_aligned_sorted/11_WT_C_S19_sorted.bam" "03_aligned_sorted/12_WT_D_S20_sorted.bam" "03_aligned_sorted/13_TRMB_A_S21_sorted.bam" "03_aligned_sorted/14_TRMB_B_S22_sorted.bam" "03_aligned_sorted/15_TRMB_C_S23_sorted.bam" "03_aligned_sorted/16_TRMB_D_S24_sorted.bam" "03_aligned_sorted/17_WT_ref_S25_sorted.bam" "03_aligned_sorted/1_WT_A_S9_sorted.bam" "03_aligned_sorted/2_WT_B_S10_sorted.bam" "03_aligned_sorted/3_WT_C_S11_sorted.bam" "03_aligned_sorted/4_WT_D_S12_sorted.bam" "03_aligned_sorted/5_TRMB_A_S13_sorted.bam" "03_aligned_sorted/6_TRMB_B_S14_sorted.bam" "03_aligned_sorted/7_TRMB_C_S15_sorted.bam" "03_aligned_sorted/8_TRMB_D_S16_sorted.bam" "03_aligned_sorted/9_WT_A_S17_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	03_aligned_sorted/10_WT_B_S18_sorted.bam	03_aligned_sorted/11_WT_C_S19_sorted.bam	03_aligned_sorted/12_WT_D_S20_sorted.bam	03_aligned_sorted/13_TRMB_A_S21_sorted.bam	03_aligned_sorted/14_TRMB_B_S22_sorted.bam	03_aligned_sorted/15_TRMB_C_S23_sorted.bam	03_aligned_sorted/16_TRMB_D_S24_sorted.bam	03_aligned_sorted/17_WT_ref_S25_sorted.bam	03_aligned_sorted/1_WT_A_S9_sorted.bam	03_aligned_sorted/2_WT_B_S10_sorted.bam	03_aligned_sorted/3_WT_C_S11_sorted.bam	03_aligned_sorted/4_WT_D_S12_sorted.bam	03_aligned_sorted/5_TRMB_A_S13_sorted.bam	03_aligned_sorted/6_TRMB_B_S14_sorted.bam	03_aligned_sorted/7_TRMB_C_S15_sorted.bam	03_aligned_sorted/8_TRMB_D_S16_sorted.bam	03_aligned_sorted/9_WT_A_S17_sorted.bam
HAH_RS00075	NC_015948.1	15501	16016	-	516	190	236	164	98	70	70	86	438	143	177	191	106	153	154	218	206	168
HAH_RS00080	NC_015948.1	16124	16444	+	321	49	90	73	54	62	54	55	69	160	182	243	114	158	113	214	140	67
HAH_RS00085	NC_015948.1	16445	17281	-	837	2945	4222	1789	1097	1060	1069	1342	2731	2446	2149	1893	1629	1920	2582	1936	2366	2994
HAH_RS00090	NC_015948.1	17383	18411	-	1029	3813	3498	3129	3266	2735	2668	3584	5183	6869	5062	3241	4140	4995	4912	5372	5350	4651
HAH_RS00095	NC_015948.1	18547	19887	+	1341	69	60	69	73	53	71	83	86	66	79	67	73	72	76	101	96	67
HAH_RS00100	NC_015948.1	19938	20327	-	390	1195	1189	912	789	822	695	827	3139	2386	2114	1417	1722	2117	1767	1917	1809	1482
HAH_RS00105	NC_015948.1	20457	20957	+	501	717	835	469	438	425	353	434	612	1056	872	661	690	931	795	890	919	913
HAH_RS00110	NC_015948.1	21003	22100	+	1098	3689	4866	3402	3366	3017	3252	3624	5365	7305	6868	5011	4236	6760	5962	6235	6182	4167
HAH_RS00115	NC_015948.1	22100	22396	+	297	932	1339	769	895	722	812	1030	953	1802	1334	1054	975	1298	1283	1202	1272	1248
HAH_RS00120	NC_015948.1	22451	22555	+	105	164	108	110	40	52	35	48	17	299	176	136	172	177	106	153	157	198
HAH_RS00125	NC_015948.1	23149	23511	-	363	207	206	122	143	168	129	144	187	252	199	151	155	223	203	183	239	215
HAH_RS00130	NC_015948.1	23645	25108	-	1464	162	180	102	46	43	39	32	286	238	211	178	188	194	196	207	154	178
HAH_RS00135	NC_015948.1	25254	25706	+	453	4255	4879	3419	3865	3758	3188	4071	5693	8658	7344	5268	5077	7619	5508	6406	6036	5181
HAH_RS00140	NC_015948.1	25781	26563	+	783	1866	2146	1330	1133	1190	1001	1121	2198	3787	3820	3010	2169	3845	2815	3604	2974	2223
HAH_RS00145	NC_015948.1	26585	27580	-	996	2241	3058	1508	1297	1337	1270	1373	2349	3214	2938	2319	2195	2955	2608	2691	2770	2511
HAH_RS00150	NC_015948.1	27663	27947	-	285	606	881	498	326	361	305	356	968	1374	1008	941	881	958	946	1223	1108	806
HAH_RS00155	NC_015948.1	28126	29070	+	945	30233	40264	18255	43979	52624	50310	52751	19270	110930	95855	68014	59360	94445	74537	81799	77278	40782
HAH_RS00160	NC_015948.1	29071	29685	+	615	16516	23307	10401	22803	27605	26396	27141	11944	65877	56793	40606	33705	56323	44034	48283	46855	23157
HAH_RS00165	NC_015948.1	29732	30160	-	429	792	893	571	487	499	360	528	1062	1133	875	557	834	957	909	796	915	921
HAH_RS00170	NC_015948.1	30294	30728	+	435	9398	12144	7730	12006	11296	10205	14001	7119	10455	8083	7079	4828	7662	7619	8311	8118	11155
HAH_RS00175	NC_015948.1	30720	31172	-	453	3640	4074	2654	2113	1925	1753	2157	4267	6767	5617	3468	4069	5772	3969	4493	4236	4591
HAH_RS00180	NC_015948.1	31434	31504	+	71	211	94	274	81	77	34	74	181	412	280	138	174	174	83	154	207	241
HAH_RS19060	NC_015948.1	31611	32459	+	849	5040	6630	2697	4116	6121	5674	6189	2651	13282	13714	12026	9107	12532	11660	15453	13221	6189
HAH_RS00190	NC_015948.1	32503	32781	+	279	1247	1662	637	751	926	816	983	1035	2870	2920	2767	1828	2647	2368	3114	2987	1507
HAH_RS00195	NC_015948.1	32864	33511	+	648	1463	2025	965	772	805	732	785	1358	2850	3016	2964	1880	2790	2442	3180	2478	1607
HAH_RS00200	NC_015948.1	33515	34720	-	1206	1231	1807	1085	1080	922	1057	1154	1790	1619	1647	1356	1022	1624	1579	1846	1754	1376
HAH_RS00205	NC_015948.1	34820	35185	+	366	349	432	254	256	256	201	271	257	469	362	316	290	343	305	433	355	348
HAH_RS00210	NC_015948.1	35470	37515	+	2046	15783	19079	10841	12589	11434	11376	14226	16663	33936	32447	20866	22011	34775	26778	26265	28234	19348
HAH_RS00215	NC_015948.1	37595	39772	+	2178	10086	14730	8387	5466	5362	5348	5816	12083	16794	17917	14386	9532	17449	12739	16102	12607	11616
HAH_RS19780	NC_015948.1	39809	39982	-	174	404	573	339	240	241	166	267	176	639	512	369	272	444	335	389	356	499
HAH_RS00220	NC_015948.1	40125	41999	+	1875	3067	3867	2556	1520	1362	1677	1785	5016	4405	3399	2308	2598	3525	4131	3466	3776	3426
HAH_RS00225	NC_015948.1	42055	42127	+	73	414	160	462	134	144	80	115	235	663	459	323	430	382	225	386	469	426
HAH_RS00230	NC_015948.1	42312	44684	-	2373	486	690	355	251	241	235	242	3413	1119	1064	824	708	949	894	973	804	672
HAH_RS00235	NC_015948.1	44684	45829	-	1146	142	157	127	72	47	32	57	1240	342	318	246	189	334	281	347	274	211
HAH_RS00240	NC_015948.1	45986	49513	+	3528	8986	12140	7205	5959	5864	6094	6377	16169	23666	22403	18634	14538	22956	18576	27261	20427	11739
HAH_RS00245	NC_015948.1	49515	49787	+	273	860	941	590	364	385	303	357	937	2180	1744	1175	1404	1674	1277	1601	1486	1014
HAH_RS00250	NC_015948.1	49957	50292	+	336	83	78	72	56	48	67	51	144	150	131	129	59	135	91	129	113	73
HAH_RS00255	NC_015948.1	50289	51098	+	810	419	427	373	350	332	320	347	717	732	775	714	408	772	566	655	579	451
HAH_RS00260	NC_015948.1	51131	51898	+	768	93	73	81	55	53	47	48	152	208	221	245	147	207	107	208	167	98
HAH_RS00265	NC_015948.1	51895	52611	+	717	31	32	30	21	23	18	27	49	80	93	80	40	80	51	67	57	56
HAH_RS00270	NC_015948.1	52590	53450	-	861	135	82	59	56	63	54	57	196	246	203	109	171	199	151	167	179	163
HAH_RS00275	NC_015948.1	53621	54115	+	495	1481	1481	998	763	729	587	824	1761	1968	1717	1148	965	1735	1339	1199	1730	1599
HAH_RS00280	NC_015948.1	54370	55890	+	1521	3325	5101	2331	1573	1729	1815	1955	4905	6292	5921	4270	3736	5948	5339	5380	5132	3838
HAH_RS00285	NC_015948.1	55973	56578	-	606	1143	1725	755	346	450	329	422	1536	1273	1077	766	717	931	1111	937	1109	1334
HAH_RS00290	NC_015948.1	56820	57080	-	261	667	1094	300	153	201	148	177	470	1002	952	875	521	802	740	972	855	693
HAH_RS00295	NC_015948.1	57178	57714	+	537	3464	2768	3234	2737	2498	2038	2908	4798	4692	4723	3188	2651	4895	2314	3156	3602	4137
HAH_RS00300	NC_015948.1	57757	59244	-	1488	3465	3765	2723	3235	2639	2744	3910	3261	5176	6066	4360	3279	5598	3685	6481	4856	3681
HAH_RS00305	NC_015948.1	59241	59837	-	597	1752	1830	1066	1531	1292	1072	1647	959	2732	2266	1498	1261	2327	1605	2485	1997	2227
HAH_RS00310	NC_015948.1	59978	60436	-	459	3418	4279	2072	1556	1479	1236	1876	3877	6001	4780	2767	3048	4637	3778	4403	3955	4170
HAH_RS00315	NC_015948.1	60563	61918	+	1356	41567	56186	27117	25430	16351	15548	31747	50774	120491	99711	70721	68739	106214	94257	120944	96742	55169
HAH_RS00320	NC_015948.1	61931	62824	-	894	1851	1707	1394	871	737	754	982	2540	2502	2680	1818	1980	2241	1911	2068	2846	2016
HAH_RS00325	NC_015948.1	62821	64056	-	1236	2062	2456	1326	996	988	825	982	3026	2860	2789	1807	2102	2475	3061	2558	3325	2269
HAH_RS00330	NC_015948.1	64135	65571	-	1437	2793	3145	2059	1098	1004	1011	1180	8599	4241	4417	2725	3155	4488	3683	3404	3598	2862
HAH_RS00335	NC_015948.1	65666	66082	+	417	1880	1757	1158	693	790	718	703	2769	3503	3647	2287	2841	3610	2803	3544	3155	2006
HAH_RS00340	NC_015948.1	66199	67302	-	1104	1599	1751	1203	728	694	698	743	3939	3793	3454	2115	2487	3471	2916	3227	3074	2044
HAH_RS00345	NC_015948.1	67351	69033	-	1683	176	167	188	150	141	118	131	524	279	321	195	195	300	247	292	261	211
HAH_RS00350	NC_015948.1	69167	69520	+	354	1863	1797	1381	944	941	706	897	2202	3207	2748	1812	2183	2716	2017	2258	2273	2154
HAH_RS00355	NC_015948.1	69735	70478	-	744	430	489	346	394	338	307	372	440	905	919	757	562	938	640	819	794	453
HAH_RS00360	NC_015948.1	70466	71314	-	849	682	663	577	717	657	499	710	629	1132	1298	1007	780	1311	985	1244	1105	757
HAH_RS00365	NC_015948.1	71339	71986	-	648	3548	3927	2603	3051	2846	2383	3329	3023	6176	5520	4076	4218	6031	4242	5314	4630	4257
HAH_RS00370	NC_015948.1	72158	72523	+	366	295	401	207	118	132	100	132	583	819	643	565	569	684	539	765	515	400
HAH_RS00375	NC_015948.1	72552	73139	-	588	1563	1526	1175	1159	1093	980	1100	1705	2872	2414	1599	1691	2611	1772	1719	1990	2033
HAH_RS00380	NC_015948.1	73252	73695	-	444	56	41	36	21	53	30	36	46	58	45	54	36	47	52	74	46	50
HAH_RS00385	NC_015948.1	73920	74471	-	552	1140	1052	908	1507	1467	1373	1534	592	915	873	717	538	784	599	766	686	1154
HAH_RS00390	NC_015948.1	74468	74653	-	186	2979	2535	2355	2710	2720	1949	2954	955	1925	1398	967	1072	1174	976	1336	1163	3050
HAH_RS00395	NC_015948.1	74814	75425	+	612	842	1248	648	715	675	616	796	799	1348	1059	776	792	1050	1134	950	1145	1082
HAH_RS00400	NC_015948.1	75476	76381	+	906	872	1202	617	545	507	534	651	812	1357	1255	940	787	1109	1017	1140	1194	1067
HAH_RS19065	NC_015948.1	76432	76581	-	150	1358	1041	1147	797	811	463	735	2792	2598	2208	1501	1616	1973	1397	2184	2085	1506
HAH_RS00405	NC_015948.1	76708	77781	+	1074	1462	1689	1053	1136	1098	1097	1259	1460	2541	2250	1597	1739	2293	2051	2134	2129	1685
HAH_RS00410	NC_015948.1	77951	78466	-	516	4034	3605	4128	2551	2475	2649	3598	7284	12483	11559	8395	5695	9698	5433	6582	8005	6315
HAH_RS00415	NC_015948.1	78554	80308	+	1755	5864	9485	4666	3842	3677	4099	4556	8651	9118	8029	6139	4841	7776	7923	7898	7703	6928
HAH_RS00420	NC_015948.1	80305	80682	+	378	717	1087	580	406	359	329	413	848	1246	1037	755	606	1031	899	980	956	840
HAH_RS00425	NC_015948.1	80710	81420	-	711	171	164	158	105	92	75	86	265	405	418	316	194	345	245	304	257	192
HAH_RS00430	NC_015948.1	81532	82914	-	1383	6474	8492	4887	6092	5538	5609	6709	11547	14208	12999	9672	9465	13132	11734	14174	11910	8248
HAH_RS00435	NC_015948.1	83000	83443	-	444	641	795	516	453	473	507	512	1044	1046	1127	762	677	975	996	1041	886	646
HAH_RS00440	NC_015948.1	83551	84459	+	909	7210	11259	4376	5439	6005	6253	6925	7381	10816	10066	8407	6432	10240	10874	9976	10008	8241
HAH_RS00445	NC_015948.1	84570	86474	+	1905	13360	18905	9826	6071	5782	5471	7021	19632	25517	22448	15838	15792	23686	19433	19572	20199	16115
HAH_RS00450	NC_015948.1	86471	86923	-	453	346	330	330	270	288	288	341	520	556	483	395	364	463	405	574	501	398
HAH_RS19785	NC_015948.1	87014	87160	-	147	10	11	7	4	6	5	4	15	28	14	24	8	17	13	21	19	17
HAH_RS00455	NC_015948.1	87407	87874	+	468	1617	2532	813	668	783	642	791	531	1462	1073	839	790	971	1596	1211	1691	1890
HAH_RS00460	NC_015948.1	87986	89119	-	1134	6856	8217	7187	5776	6163	6253	7560	11004	6597	7127	7460	5939	6359	7712	11471	8417	8102
HAH_RS00465	NC_015948.1	89229	89699	-	471	300	408	151	241	173	169	206	210	316	323	202	185	277	238	239	199	281
HAH_RS00470	NC_015948.1	89787	91388	-	1602	2270	3365	1450	895	826	755	988	1231	922	908	1349	673	804	785	1094	844	2104
HAH_RS00475	NC_015948.1	91507	92856	+	1350	8629	12224	7155	1877	1719	1516	1873	16356	10408	9350	7154	6954	9933	9370	9963	9402	10437
HAH_RS00480	NC_015948.1	92941	93213	+	273	165	170	148	42	65	35	31	120	177	157	132	154	179	137	154	174	181
HAH_RS00485	NC_015948.1	93258	94133	+	876	1589	1732	1350	1052	931	800	1189	1960	2982	2748	1738	1822	2812	2106	2248	2398	1795
HAH_RS00490	NC_015948.1	94195	94491	+	297	735	901	638	319	320	248	337	1404	1017	956	704	685	889	551	830	818	847
HAH_RS00495	NC_015948.1	94511	95461	-	951	1585	1851	1290	1067	1042	941	1121	1629	2666	2310	1766	1621	2274	1974	1838	2086	1836
HAH_RS00500	NC_015948.1	95831	96718	-	888	3124	3929	2156	1376	1422	1411	1647	1931	2663	2389	2152	1760	2122	2649	2273	2714	3201
HAH_RS00505	NC_015948.1	97076	98305	+	1230	18960	21495	14892	21691	20234	20047	25210	28451	39319	35646	24902	22838	36494	27004	30433	32240	22922
HAH_RS00510	NC_015948.1	98305	98682	+	378	4446	5077	3392	3805	3259	3201	4032	6613	9713	8817	6132	6097	8630	7016	7624	8330	5303
HAH_RS00515	NC_015948.1	98686	99264	+	579	10240	11512	7294	7627	7102	6374	8105	15448	22848	19843	13478	13757	20577	16763	18674	18078	12310
HAH_RS00520	NC_015948.1	99264	99461	+	198	2141	1725	1686	1497	1334	1105	1453	2237	3343	2827	1688	2520	2574	2064	2256	2863	2314
HAH_RS00525	NC_015948.1	99463	100002	+	540	3020	3437	2503	3277	2847	2636	3290	5667	7908	7440	5315	4842	7784	5722	6827	6377	3647
HAH_RS19430	NC_015948.1	100031	100186	-	156	157	128	151	96	112	62	102	72	165	159	183	107	111	109	191	110	144
HAH_RS00530	NC_015948.1	100276	101307	-	1032	3406	4174	2647	1960	1786	1822	2259	3256	4563	4215	2618	3062	4526	3732	3501	4192	3862
HAH_RS00535	NC_015948.1	101395	101784	+	390	252	258	251	230	199	144	240	469	556	470	353	304	498	385	483	478	296
HAH_RS00540	NC_015948.1	101895	102149	+	255	49	45	36	57	42	44	51	70	158	151	134	74	140	109	152	137	78
HAH_RS00545	NC_015948.1	102179	103027	-	849	1484	2008	1237	1479	1359	1396	1603	1878	2988	2404	1718	1683	2427	2236	2348	2287	1924
HAH_RS00550	NC_015948.1	103094	104299	-	1206	353	389	327	393	350	365	492	502	731	801	596	465	838	532	653	670	412
HAH_RS00555	NC_015948.1	104451	105749	+	1299	2988	4248	2126	2239	2216	2224	2529	4215	5766	5318	4079	3455	5329	4622	5816	4823	3738
HAH_RS00560	NC_015948.1	105888	106886	+	999	318	391	204	135	136	123	127	705	508	484	466	320	420	356	504	374	406
HAH_RS00565	NC_015948.1	106931	108208	+	1278	15944	19933	9719	9911	9410	8888	11129	20742	32151	28390	18195	20291	29774	23718	24540	24327	20289
HAH_RS00570	NC_015948.1	108551	109006	+	456	549	855	355	299	337	319	374	834	982	990	923	662	975	721	1042	743	646
HAH_RS19790	NC_015948.1	109112	109264	-	153	222	127	608	245	298	183	218	167	232	210	161	149	217	168	163	184	253
HAH_RS00575	NC_015948.1	109556	110629	+	1074	3173	3685	2858	3257	2977	3058	3762	5307	6035	6112	4099	4107	6197	4549	5998	5266	3704
HAH_RS00580	NC_015948.1	110626	110835	-	210	1257	823	971	901	821	497	846	1956	1805	1711	913	1250	1677	1207	1567	1585	1393
HAH_RS00585	NC_015948.1	110965	111612	+	648	791	914	658	1250	1097	1166	1267	1046	1494	1234	947	910	1503	1412	1315	1288	933
HAH_RS00590	NC_015948.1	111631	112149	-	519	750	712	455	463	433	341	428	886	1104	1014	711	931	1102	862	873	1034	821
HAH_RS00595	NC_015948.1	112342	113292	+	951	524	613	361	277	316	223	320	1082	786	681	531	574	646	540	648	548	636
HAH_RS00600	NC_015948.1	113306	113917	-	612	7283	7910	6138	5150	4410	4114	5507	5551	5887	4977	3733	3961	4931	5317	5382	6469	7863
HAH_RS00605	NC_015948.1	113954	114850	-	897	3285	4105	2680	1436	1383	1355	1644	7063	8257	7669	6131	5743	7550	6641	8220	7544	3816
HAH_RS00610	NC_015948.1	114857	115600	-	744	6076	7010	5268	4403	4294	4080	5089	13230	13757	10867	8590	7955	10867	10462	12717	11290	8058
HAH_RS00615	NC_015948.1	115760	116845	-	1086	1070	1706	693	994	933	767	955	1074	2922	2860	1437	1194	3297	1570	1757	1247	1211
HAH_RS00625	NC_015948.1	117165	117956	+	792	3420	2948	2385	1942	1684	1530	1919	4121	6558	5554	3592	4402	5857	3829	5041	4829	4155
HAH_RS00630	NC_015948.1	117975	118673	-	699	597	1240	384	441	245	248	985	2283	1375	1103	543	793	1311	1002	969	1164	887
HAH_RS00635	NC_015948.1	118663	118839	-	177	93	108	52	50	26	14	82	201	182	129	76	103	129	76	111	120	87
HAH_RS00640	NC_015948.1	119143	121335	-	2193	7366	11555	7659	2767	2582	2444	3028	19122	21382	16124	11759	11288	17701	14360	17565	15342	9551
HAH_RS00645	NC_015948.1	121440	123059	+	1620	7713	11009	7538	5386	5034	5335	6447	13182	22548	17808	11825	12465	19089	13196	15299	15571	10207
HAH_RS00650	NC_015948.1	123061	123690	+	630	2379	3391	2137	1609	1454	1373	1706	3949	6664	5670	3738	3875	5926	4236	4999	4574	2985
HAH_RS00655	NC_015948.1	123695	124576	-	882	1885	1976	2014	1457	1307	1207	1454	3268	3621	3108	2048	1947	3094	2596	2994	2867	2144
HAH_RS00660	NC_015948.1	124719	126767	+	2049	7162	10611	5950	4593	4343	4661	5540	9565	8904	9294	6490	5318	9151	7486	6719	8006	8036
HAH_RS00665	NC_015948.1	126862	127989	+	1128	5468	7657	4398	4532	4540	4918	5338	8414	9135	8948	7736	5427	8261	7641	9145	7212	6168
HAH_RS00670	NC_015948.1	128033	128818	-	786	2733	2727	2236	2626	2276	2472	2761	3986	3543	3176	2146	2111	2889	3074	3390	3116	2928
HAH_RS00675	NC_015948.1	128986	129372	+	387	353	410	296	230	225	185	228	447	553	509	433	323	433	356	441	348	413
HAH_RS00680	NC_015948.1	129414	130883	-	1470	1185	1273	901	781	679	633	899	2787	2327	2558	1652	1718	2716	2202	1961	2133	1268
HAH_RS00685	NC_015948.1	130968	131414	+	447	977	1243	668	486	527	569	600	1340	1277	1217	1018	901	1171	1112	1256	1158	1131
HAH_RS00690	NC_015948.1	131404	131649	-	246	657	638	441	281	263	224	265	733	858	661	471	522	605	545	628	593	719
HAH_RS00695	NC_015948.1	131766	134168	+	2403	8659	11193	7049	5268	4740	4783	5826	14678	19767	19734	13436	11851	20172	14699	14760	15531	10376
HAH_RS00700	NC_015948.1	134168	134695	+	528	2052	2607	1662	1094	1070	939	1122	2869	4497	4230	2697	2675	4590	3364	3341	3543	2527
HAH_RS00705	NC_015948.1	134734	135021	+	288	247	194	242	190	189	186	238	240	336	359	294	140	302	126	158	206	306
HAH_RS00710	NC_015948.1	135018	136322	+	1305	669	654	551	587	542	448	539	502	830	870	729	468	824	622	800	745	714
HAH_RS00715	NC_015948.1	136399	137241	+	843	848	965	760	583	575	554	632	1487	1483	1458	1082	1144	1479	1247	1588	1431	953
HAH_RS00720	NC_015948.1	137242	137787	-	546	15940	18446	12223	12411	12255	12487	14389	21506	21262	19874	15848	12782	18322	17221	20554	17874	19091
HAH_RS00725	NC_015948.1	138088	138387	+	300	4868	5939	1892	3232	4235	3363	4082	1264	5009	4203	2757	3190	2899	4292	3641	4588	5543
HAH_RS00730	NC_015948.1	138395	138952	+	558	7739	11404	3479	6331	8405	7570	8300	2573	10191	8125	5885	5080	5891	9224	6945	9205	9394
HAH_RS00735	NC_015948.1	138998	139543	+	546	6876	8950	3668	4088	4648	3932	4583	3571	9375	7423	4914	5231	6529	7355	6081	6997	7877
HAH_RS00740	NC_015948.1	139547	140971	+	1425	12776	19671	6809	8284	9192	8647	9718	7550	20518	16184	11168	10105	14571	16307	13383	15034	15195
HAH_RS00745	NC_015948.1	141011	141472	+	462	263	289	164	144	145	129	181	338	371	369	297	285	341	304	329	365	258
HAH_RS00750	NC_015948.1	141481	141705	-	225	458	724	357	200	266	187	166	669	1168	1205	1071	717	1122	715	1542	973	491
HAH_RS00755	NC_015948.1	142016	143698	-	1683	77084	198053	48313	39876	39710	37532	42003	138017	258698	187139	147871	110794	195283	167773	217238	184368	103573
HAH_RS00760	NC_015948.1	143845	144897	-	1053	6225	7803	5029	1860	1958	1616	2080	16416	8381	7989	6717	5578	7625	6459	7729	6730	6577
HAH_RS00765	NC_015948.1	144995	145969	-	975	6756	8874	4992	3850	3729	3648	4176	6735	11571	10111	7007	7615	10249	8955	8870	9612	7676
HAH_RS19795	NC_015948.1	146124	146297	+	174	1199	1134	949	430	415	255	301	783	487	593	1056	276	297	399	650	446	927
HAH_RS00770	NC_015948.1	146284	147018	-	735	921	945	647	436	417	391	448	1191	1412	1541	1192	1079	1295	1060	1443	1190	928
HAH_RS00775	NC_015948.1	147015	147953	-	939	2659	3267	1913	1018	972	910	1021	5642	5497	5557	4815	3260	5218	3722	4755	4425	3289
HAH_RS00780	NC_015948.1	148008	148994	-	987	3817	5266	2632	2644	2742	2680	3554	11719	7010	6932	5491	4313	6596	6195	8465	6800	4301
HAH_RS00785	NC_015948.1	149105	149308	+	204	479	467	360	288	288	211	284	368	596	555	498	371	495	407	591	487	535
HAH_RS00790	NC_015948.1	149313	150296	-	984	331	439	307	367	420	325	447	616	1091	1382	996	847	1212	750	1288	967	351
HAH_RS00795	NC_015948.1	150398	150742	+	345	74	91	86	117	117	86	93	169	165	127	104	71	97	96	124	110	111
HAH_RS00800	NC_015948.1	150744	151073	+	330	27	32	27	61	45	60	65	71	33	40	37	42	39	37	44	66	37
